Start (Day/UT)	Tmax1 (UT)	Jmax1 (pfu)	γ1	Eqmmax1 (MeV)	GLE	Source max 1	Confidence of The Source Association	T0 FL (Day/UT)	Importance (Xray/Opt)	Localization	T0 CME (Day/UT)	CME (data)	AR
10h	19h	2.7	3.1	60		DSF	1	01d07h 50m			01d13h42m	850/360/084
11h	12h	9.4	2.25	200		FL	2	14d10h 05m	С4.4/SF	N17W52	14d 10h12m	1205/360/224	11099
07h	11h	2.2	2.25	95		FL	2	18d04h45m	C4.5/	N18W88	18d05h48m	1471/184/230	11099 1.5d behind WL
01h	07h	1.6	1.8	200		FL	2	28d00h44m	M1.3/	N16W88	28d01h26m	606/119/290	11149 5d behind WL
05h	12h	1.9	2.2	80		FL	1	15d01h44m	X2.2/2B	S20W15	15d02h24m	0669/360/189	11158
22h	08d05h	45	3.1	140		FL	1	07d19h43m	M3.7/SF	S22W67	07d20h00m	2125/360/313	11164
04h	11h	6.8	2.4	250		FL	2	<21d02h24m			21d02h24m	1341/360/274	Flare activity behind WL 11176?
18h	06d04h	3.6	3.25	160		FL	2	<04d22h05m			04d22h05m	2425/360/300	11222, 3d behind WL
07h	12h	40	2.8	650		FL	1	07d06h16m	M2.5/2N	S21W54	07d06h49m	1255/360/250	11226
13h	20h	2.4	2.8	75		Unknown
18h	20h	0.9	2.1	80		FL	2	14d21h36m	M1.3/SF	N15E77			11236
06h	08h	5.6	2.8	70		FL	2	14d21h36m	M1.3/SF	N15E77	14d22h36m	0441/028/135	11236
07h	02d11h	2.2	2.2	120		FL	2	02d05h19m	M1.4/1N	N14W15	02d06h36m	0852/268/285	11261
04h	04d08h	60	2.5	500		FL	1	04d03h41m	M9.3/2B	N19W36	04d04h12m	1315/360/298	11261
19h	20h	2.6	2.3	100		FL	1	08d18h00m	M3.5/1B	N16W61	18d18h12m	1343/237/281	11263
08h	10h	21.3	2.3	650		FL	1	09d07h48m	X6.9/2B	N17W69	09d08h12m	1610/360/279	11263
02h	06d09h	1.4	2.2	200		FL	1	06d01h35m	M5.3/1B	N14W07	06d02h24m	0782/360/070	11283
02h	07d05h	6	2.1	420		FL	1	06d22h12m	X2.1/2B	N14W18	06d23h05m	0575/360/300	11283
13h	23d09h	5.4	2.2	200		FL	1	22d10h29m	X1.4/2N	N13E78	22d10h48m	1095/360/072	11302
12h	23h	3.3	2.8	75		FL	1	22d10h00m	М1.3/SF	N25W77	22d10h24m	1005/360/311	11314
